gene_name,Asn_1,Asn_2,Asn_3,Nitrate_1,Nitrate_2,Nitrate_3,Ni_N1,Ni_N2,Ni_N3,Ni_SM1,Ni_SM2,Ni_SM3
Phatr3_J6052,1880,2026,2080,1776,2417,1940,2689,2251,3289,1699,1968,2967
Phatr3_J19122,826,810,1081,546,710,219,777,610,901,476,491,1179
Phatr3_J54265,1048,954,1241,734,708,496,705,729,1130,1022,1023,2018
Phatr3_J44600,530,409,559,352,336,227,355,356,516,346,402,784
Phatr3_J11006,35382,32076,47397,36962,41975,30817,48997,35142,55671,10000,12730,20030
Phatr3_J26256,4669,4637,5736,4517,5544,1988,5154,5671,8896,1097,1460,2127
Phatr3_J44603,6654,5837,6489,6235,7263,4723,7841,6912,10270,1770,2363,3472
Phatr3_J34071,5220,4846,7051,4234,4993,4104,5573,4224,6481,11095,12556,25206
Phatr3_EG02389,4095,3215,4861,3008,3586,4429,4152,3100,4884,2017,2374,4118
Phatr3_J44606,925,928,1051,661,787,257,942,670,1039,819,1017,1609
Phatr3_J44607,196,117,226,177,91,246,118,114,274,458,528,1227
Phatr3_EG01548,976,738,1474,883,650,416,909,756,1198,502,612,1157
Phatr3_J44608,2101,1564,2776,1032,923,788,1095,1243,1741,976,1102,2798
Phatr3_J44609,2662,1675,3203,1957,2001,1247,2249,2243,2919,1882,1872,5108
Phatr3_J44610,2617,2750,2964,1701,2833,1735,2663,2637,3900,5918,6582,10554
Phatr3_J34078,754,534,1072,523,554,510,629,595,844,289,350,645
Phatr3_J34079,0,0,0,0,0,0,0,0,0,0,0,0
Phatr3_J44611,0,0,0,0,1,0,0,0,0,7,6,57
Phatr3_EG01568,3,3,9,122,103,87,158,148,199,28,50,132
Phatr3_EG01578,0,0,0,15,4,15,22,11,17,0,5,11
Phatr3_EG02391,593,484,766,383,404,311,456,418,533,931,1080,1805
Phatr3_J44614,3638,2671,4575,2291,2580,1951,3081,2695,3706,2557,2958,7397
Phatr3_EG01576,0,0,0,0,0,0,0,0,0,0,0,0
Phatr3_J10902,3718,3917,4967,1731,2025,1626,2582,1776,2584,2393,2496,6958
Phatr3_J34085,165,333,307,95,173,229,247,103,229,296,326,755
Phatr3_J19152,16016,19675,21105,18506,22579,7204,24027,19314,28607,5149,6703,10459
Phatr3_J44618,3417,4896,4451,2195,3842,447,3377,3142,5169,1478,1829,3334
Phatr3_J34088,314,255,381,187,184,209,241,232,330,426,402,794
Phatr3_J10782,2193,2805,2816,620,915,136,805,929,1232,324,313,1282
Phatr3_J34091,602,584,880,476,479,333,504,515,755,275,327,999
